query,gpt4o_answer
일본 농림수산성이 칠레산 가금육 등의 수입중지 조치를 해제한 이유는 무엇인가?,"일본 농림수산성은 칠레 가축위생당국이 제공한 조류인플루엔자 방역조치 등의 정보를 검토한 결과, 칠레산 가금에서 고병원성 조류인플루엔자 청정성이 확인되었기 때문에 2023년 3월부터 시행된 가금육 등의 일시 수입중지 조치를 2023년 12월 26일부로 해제하였다."
최근 세계동물보건기구(WOAH)가 보고한 고병원성 조류인플루엔자(H5N1) 발생 현황은 어떠한가?,"2023년 12월 21일 기준, 세계동물보건기구(WOAH)는 캐나다와 독일에서 고병원성 조류인플루엔자(H5N1) 발생을 보고했다."
칠레에서 보고된 조류인플루엔자 A(H5) 인체 감염 사례의 주요 내용은 무엇인가?,"2023년 3월 29일, 칠레 보건부는 53세 남성(안토파가스타 지역)의 조류인플루엔자 A(H5) 감염 사례를 세계보건기구(WHO)에 보고했다. 이는 칠레에서 처음으로 확인된 인간 감염 사례이며, 미주 지역에서는 세 번째 사례이다. 현재까지 인간 간 전파 증거는 없으며, 바이러스 노출 사례 확인을 위한 조사가 진행 중이다. 최근 몇 달 동안 고병원성 조류인플루엔자(HPAI) A(H5N1)가 칠레의 가금류, 야생조류, 바다 포유류 등에서 광범위하게 검출되었다."
스위스 연방평의회는 화학물질 및 폐기물 협약 강화와 관련하여 어떤 조치를 취하고 있는가?,"스위스 연방평의회는 2023년 4월 5일, 화학물질 및 폐기물 협약 강화를 지지한다고 발표했다. 스위스 대표단은 2023년 5월 1일부터 12일까지 제네바에서 열리는 회의에서 로테르담 협약 강화를 위해 다른 국가들과 협력할 계획이다. 이에 따라 농약 활성물질인 이프로디온(Iprodion)과 터부포스(Terbufos)가 로테르담 협약 부속서에 등재되며, 앞으로 수입국의 사전 동의가 없으면 해당 물질을 함유한 농약의 수출이 금지된다. 또한, 스위스는 스톡홀름 협약을 통해 UV-328, 데클로란 플러스(Dechloran Plus), 메톡시클로르(Methoxychlor)를 협약 목록에 포함시키기 위한 캠페인을 진행할 예정이다."
벨기에 연방보건부는 아스파탐의 1일허용섭취량(ADI)을 변경하지 않은 이유는 무엇인가?,"벨기에 연방보건부는 국제암연구소(IARC)와 국제식량농업기구/세계보건기구 합동 식품첨가물전문가위원회(JECFA)의 평가 결과를 고려한 후, 아스파탐 사용 승인 및 조건을 검토할 이유가 없다고 밝혔다. IARC는 아스파탐을 2B군(발암 가능 물질)으로 분류했지만, 특정 노출 수준에서 암 발생 위험을 직접 평가한 JECFA는 암 유발 가능성이 있는 메커니즘이 확인되지 않았으며, 유전독성이 없고 건강에 부정적인 영향을 미치지 않는다고 결론지었다. 이에 따라 JECFA는 기존의 1일섭취허용량(40mg/kg bw/day)을 유지해야 한다고 판단했으며, 유럽식품안전청(EFSA)도 같은 입장을 보였다. 따라서 벨기에 연방보건부는 아스파탐의 허용 기준을 변경할 필요가 없다고 결정했다."
"미국 연구진의 연구에 따르면, 카드뮴 식이 노출이 가장 높은 연령대와 주요 노출 식품은 무엇인가?","미국 미시간주립대학교 연구진의 연구에 따르면, 카드뮴 식이 노출이 가장 높은 연령대는 6~24개월과 24~60개월의 어린이들이다. 특히 24~60개월 연령대에서 카드뮴 노출 수준이 가장 높게 나타났다. 주요 노출 식품으로는 쌀과 시금치가 있으며, 시금치의 카드뮴 평균 수준(117~222 μg/kg)이 쌀(6.5–18.19 μg/kg)보다 훨씬 높은 것으로 확인되었다. 연구 결과, 유아식 제조에 사용되는 여섯 가지 식품(쌀, 시금치, 귀리, 보리, 감자, 밀)로부터 누적된 카드뮴 노출량이 어린이 연령대에서 독성물질질병관리청(ATSDR)의 만성 경구 최소 위해 수준(MRL)을 초과한 것으로 나타났다."
일본 유한회사 밸런스가 마들렌 제품을 회수한 이유와 해당 제품의 판매 정보는 무엇인가?,"일본 유한회사 밸런스는 2023년 8월 2일, 마들렌 제품에서 곰팡이가 발생하여 식품위생법 위반 우려로 인해 제품을 회수했다. 회수 대상 제품은 마들렌 6개입과 마들렌 10개입으로, 소비기한은 2023년 8월 8일까지이다. 해당 제품은 후쿠오카공항 국내선 하카타 DAIMARU Airport점에서 2023년 7월 18일부터 판매되었으며, 총 33상자가 판매되었다. 제품의 제조 및 가공사는 유한회사 밸런스이며, 후생노동성 정리번호는 RCL202302115이다."
중국 해관총서와 농업농촌부는 터키에서 발생한 가성우역의 유입을 방지하기 위해 어떤 조치를 시행했는가?,중국 해관총서와 농업농촌부는 터키에서 발생한 가성우역의 중국 유입을 방지하기 위해 다음과 같은 조치를 시행했다.
대만 신베이시에서 적발된 가짜 양고기 판매 사건의 주요 내용은 무엇인가?,"대만 신베이시 위생국은 2024년 25일, 검찰과 합동으로 다타이페이 과채시장(DaTaiPei) 내 ‘중닝 해산물가게(ZhongNing)’와 육류 공급업체 ‘난타이궈지 기업사(NanTaiGuoJi)’가 가짜 양고기를 판매한 혐의로 적발했다. 수사에 따르면, 2020년부터 공급업체의 천(陳)씨는 ‘중닝 해산물가게’의 양(楊)씨 남매에게 돼지고기가 혼합된 양고기 또는 양고기가 전혀 함유되지 않은 돼지고기 슬라이스를 공급했으며, 양씨 남매는 이를 양고기로 둔갑시켜 소비자에게 판매했다. 이에 따라 신베이시 위생국은 식품안전위생관리법에 의거하여 두 업체에 대해 작업 중단 및 판매 금지 명령을 내렸으며, 검찰과 경찰이 추가 조사를 진행 중이다."
"Springbank Cheese Co.와 Le Grand Fromage에서 회수된 치즈 제품은 무엇이며, 회수 사유는 무엇인가요?",pringbank Cheese Co.와 Le Grand Fromage에서 회수된 치즈 제품은 'Gorgonzola Truffle Italian Cheese'와 'Gorgonzola Truffle Cheese'입니다. 회수 사유는 리스테리아 모노사이토제네스(Listeria monocytogenes) 오염 가능성 때문입니다.
스페인 식품안전영양청(AESAN)은 아일랜드산 자숙 냉동게에 대한 경고를 왜 철회했나요?,갈리시아 자치주의 새로운 분석 결과 제품이 적합 판정을 받아 소비자 건강 위해와 무관하기 때문입니다.
"""영국 환경식품농촌부(Defra)가 안내한 국경 목표운영모델(Border Target Operating Model)은 무엇인가?","국경 목표운영모델(Border Target Operating Model)은 그레이트브리튼(잉글랜드, 스코틀랜드, 웨일스)으로 수입되는 살아있는 동물, 동물성 제품, 식물 및 식물성 제품의 위생 및 식물위생 관리에 대한 새로운 접근방식을 제시하는 모델이다."
나이지리아산 히비스커스 꽃에서 검출된 미승인 물질은 무엇인가?,"클로르피리포스에틸(Chlorpyrifos ethyl) 0.074 mg/kg (± 0.037 mg/kg)이다."""
일본에서 회수된 '팔도 꼬꼬면'의 회수 사유는 무엇인가?,"식품표시법 위반으로 일본어 표시 라벨을 부착하지 않고 한국어 표기로만 판매하였으며, 알레르기 유발물질 표시(밀, 달걀, 우유, 대두, 쇠고기, 돼지고기)가 누락되었기 때문이다."
대만 식약서가 일본산 수입식품의 방사능 검사를 중단한 품목은 무엇인가?,"일본 현지 유통제한 품목 및 후쿠시마, 이바라키, 도치키, 군마, 지바 등 5개현에서 생산·제조된 야생조수s, 버섯류, 오가피의 수입 검사를 중단하였다."
네팔에서 보고된 H5N2 고병원성 조류 인플루엔자의 발생 규모는 어떻게 되는가?,"의심 60,356건, 감염 20,517건, 폐사 20,517건, 살처분 39,839건, 도축 0건이다."
미국 식품의약품청이 'PrimeZen Black 6000' 제품에 대해 경고한 이유는 무엇인가?,실데나필(sildenafil) 및 타다라필(tadalafil)이 함유되어 있기 때문이다.
독일 CVUA가 서양 송로버섯을 포함한 제품에서 집중적으로 모니터링하는 이유는 무엇인가?,서양 송로버섯 품종에 따른 가격 차이로 인해 식품 사기 가능성이 높기 때문이다.
미국 식품안전검사국이 공중보건경보를 발령한 냉동 닭고기 제품의 제조사는 어디인가?,CAFE SPICE LLC이다.
