id,질문,예상답변,정답,제목,gold문서
11,랜초피딩(사)의 유해 소고기가 판매된 패스트푸드점은 어디인가?,잭인더박스(Jack in the Box) 등 패스트푸드점에서 랜초피딩(사)의 유해 소고기가 판매되었을 가능성이 있습니다.,해당 문서에 없음,"미국, 패스트푸드점에서 렌초피딩(사)의 유해 소고기 판매했을 가능성 있어","미국, 패스트푸드점에서 렌초피딩(사)의 유해 소고기 판매했을 가능성 있어 'Press Democrat'지에 따르면 최근 회수 조치된 랜초피딩(사)의 유해 소고기가 잭인더박스(Jack in the Box) 등 패스트푸드점에 판매돼 햄버거 재료로 사용됐을 가능성이 있음.  감독관은 해당 소고기가 판매됐을 것으로 보고있음. 35개 주 약 6,000여개 소매점이 회수 명단에 기재됐음. 그러나 레스토랑 등 외식 업체는 확인되지 않고 있음. 이번 회수 제품과 관련하여 어떠한 질병도 보고된 것은 없음. 많은 패스트푸드점들이 쇠고기를 대상으로 대..."
12,Cuisinart® 전기훈제기기의 회수 사유는 무엇인가요?,Cuisinart® 전기훈제기기는 제품 사용 시 가스가 문이 열릴 정도로 차는 안전 우려로 인해 회수되었습니다.,제품 사용 시 가스가 문이 열릴 정도로 차는 사례가 10건 있어 예방조치 차원에서 회수함. 상해 보고는 없었음.,"[추가회수]캐나다 Canadian Tire Corporation, Limited., 안전 우려로 훈제용 가전기기 회수(중국산)","[추가회수]캐나다 Canadian Tire Corporation, Limited., 안전 우려로 훈제용 가전기기 회수(중국산) - 회수일시: 2014.10.6- 유통지역: 전국 Canadian Tire 상점- 제품명: Cuisinart® 전기훈제기기(중국산, 제품번호: 85-1153)- 회수사: Canadian Tire Corporation, Limited.(수입업체)- 기타: 해당 제품은 2012년 2월부터 2014년 9월 기간동안 판매되었음. 제품 사용시 가스가 문이 열릴정도로 찬다는 10건의 소비자 사례가 있어 예방조치 차원에..."
13,전직 웨스트 버지니아 의원 내외가 사망한 원인은 무엇인가?,전직 웨스트 버지니아 의원 내외가 사망한 원인은 상한 미트로프를 섭취한 후 식중독과 관련된 질병들로 인한 것으로 보임.,상한 미트로프를 먹고 식중독 증세를 보여 사망했다고 소송이 제기되었음.,"미국 웨스트 버지니아 의원 내외 유가족, ""사인은 상한 고기"" 음식점 제소","미국 웨스트 버지니아 의원 내외 유가족, ""사인은 상한 고기"" 음식점 제소 전직 미국 웨스트 버지니아 의원 내외가 한 음식점에서 상한 미트로프(*곱게 다진 고기, 양파 등을 함께 섞어 빵 모양으로 만든 뒤 오븐에 구운 것)을 먹어 사망했다며 소송이 제기되었음.  전직 스타처 의원의 유가족은 지난달 음식점 '밥 에반스 팜'을 상대로 한 소송장을 잭슨 카운티 순회법원에 제출했음. 이에 업체 대변인은 본 사건에 강력 변호하겠다고 밝혔음.  소장에 따르면, 의원 내외는 지난 2012년 10월, 밥 에반스에서 미트로프를 먹은지 9시간이 흐른..."
14,푸드본 시카고 앱은 어떤 정보를 분석하여 식중독 사례를 확인하나요?,푸드본 시카고 앱은 'foodbornechi' 트위터 메시지를 통해 시카고와 그 인근에서 발생한 식중독 관련 추정 정보를 분석합니다.,푸드본 시카고 앱은 시카고와 그 인근에서 발생한 식중독 증세와 관련이 있다고 추정되는 트위트 정보를 확인하는 알고리즘을 사용합니다.,"미국 시카고, 트위터를 통해 식중독 원인 확인하기 위한 앱 개발","미국 시카고, 트위터를 통해 식중독 원인 확인하기 위한 앱 개발 시카고 공중보건부 소속의 베카라 슈케어(Bechara Choucair)박사는 지역에서 발생한 식중독 일화에 대해 불평하는 트위터 사용자들을 보았을 때, 이들에게 연락을 취했고, 대개는 결국 혐의가 있는 식당의 위반사항에 의구심을 갖기도 했음. 슈케어 박사는 ""지역 여러 곳에 분포되어 있는 대부분의 식품 매개 식중독 사례를 보건부에 보고하는 것이 계속될 것을 알고 있다. 식중독에 걸린 사람들이 의사에게 연락을 취하지는 않지만 트위터에 접속해 바깥에서 먹은 음식으로 인해 ..."
15,앤드류 버탈리씨가 대마씨를 빵에 넣고 싶어하는 이유는 무엇인가?,"앤드류 버탈리씨가 대마씨를 빵에 넣고 싶어하는 이유는 대마씨가 단백질이 많고 오메가 3, 6, 9이 풍부하여 건강에 좋기 때문임.","대마는 단백질이 많고, 오메가 3, 6, 9이 풍부해 훌륭한 종자이자 곡물이기 때문이다.","호주 자영업자, 식용 대마 산업 합법화 재촉","호주 자영업자, 식용 대마 산업 합법화 재촉 호주 빅토리아주 중앙의 한 제빵업체가 대마씨를 빵에 넣고 싶다는 의사를 밝히면서, 대마의 식용 합법화 논란에 다시 불이 붙었음.  호주뉴질랜드 식품기준청은 식품 중 대마 사용은 안전하다는 입장을 밝혔지만 관련 법률은 현재까지도 식용을 금지하고 있는 상황임.  빅토리아주 버낼라 지역에서 '알파인 브래드' 가게를 운영 중인 앤드류 버탈리씨는 유명 슈퍼마켓과 건강식품점에 건강빵을 납품하고 있음. 그는 ""대마는 단백질도 많고, 오메가 3, 6, 9이 풍부해 훌륭한 종자이자 곡물이다""라고 말했음...."
16,영국소매협회(BRC)가 마련한 알레르겐 관리 지침은 어떤 주제에 초점을 맞추고 있나요?,"BRC 알레르겐 관리 지침은 다음 다섯 가지 주제에 초점을 맞추고 있습니다: 위해 평가법을 통한 공정과 활동, 성분의 위해도 평가, 공급업체 정보 파악, 알레르겐 구분 절차, 그리고 청결 관리 방법 제시. 해당 문서에 없음.","지침은 위해 평가법, 재료 정보 파악, 알레르겐 구분, 생산 계획 방법, 청결 관리 방법의 다섯 가지 주제에 초점을 맞추고 있습니다.","영국, 식품 제조업체 위한 알레르겐 관리 지침","영국, 식품 제조업체 위한 알레르겐 관리 지침 새로운 식품 알레르겐 관리와 표시 규정이 올해 말, 시행됨에 따라 제조업체와 관련자들이 시급히 대비하지 않으면 식품기준청(FSA)의 '식품경보' 발령 건수가 증가할 것으로 보임.  지난 해, FSA가 식품경보를 발령한 주요 이유 중에는 알레르겐 교차오염과 표시 오류가 있었음. EU의 소비자식품정보규정(FIR)에 따라 올해 말에 시행될 새로운 규정에 대한 혼란으로 업체들이 제대로 준비하지 않으면 식품경보 수가 더 늘어날 것임. 업체들이 변화에 대처하도록 돕기 위해, 영국소매협회(BRC)가..."
17,뉴욕시 소비자 문제 및 보호 위원회가 가결한 법안은 무엇을 요구하나요?,뉴욕시 소비자 문제 및 보호 위원회가 가결한 법안은 유전자 변형 식품에 라벨을 부착할 것을 요구합니다.,유전자 변형(GMO) 식품에 라벨을 요구하는 법안(A.3525)을 가결했습니다.,"미국 소비자연맹, GMO 라벨 법안 뉴욕시 소비자문제 위원회 가결 발표","미국 소비자연맹, GMO 라벨 법안 뉴욕시 소비자문제 위원회 가결 발표 미국 소비자연뱅은 뉴욕의회의 '소비자 문제 및 보호 위원회(Committee on Consumer Affairs and Protection)'가 유전자 변형(GMO)식품 라벨을 요구하는 법안(A.3525)을 찬성 9표로 가결시켰음을 발표함. 특수 법인 이해관계자들의 상당한 로비에도 불구하고 집회 및 직접적인 제정 소통을 포함한 환경 및 소비자단체의 강력한 조직화가 법안이 위원회를 통과하는데 도움을 주었음. 법안 상정자이자 위원회 회원인 린다 로젠탈(Linda B..."
18,"Baptista's Bakery, Inc가 회수한 프레즐의 제품명은 무엇인가요?","Baptista's Bakery, Inc가 회수한 프레즐의 제품명은 Houdini, 3 oz Honey Mustard Pretzel Nuggets 입니다.","Houdini, 3 oz Honey Mustard Pretzel Nuggets","[E/R]미국 Baptista's Bakery, Inc, 알레르기 유발성분인 유청 미표시한 프레즐 회수","[E/R]미국 Baptista's Bakery, Inc, 알레르기 유발성분인 유청 미표시한 프레즐 회수 -지역: 미국 캘리포니아 -제품명: Houdini, 3 oz Honey Mustard Pretzel Nuggets, 품목 # COM 562 로트 30014 -회수사: Baptista's Bakery, Inc (회수종료, 회수일 2014-11-14)-회수사유: 제품에는 표시하지 않은 유청이 함유된 조미료를 잘못 사용..."
19,린다 로젠탈 뉴욕 의원이 상정할 예정인 법안의 주요 내용은 무엇인가?,린다 로젠탈 뉴욕 의원이 상정할 예정인 법안의 주요 내용은 뉴욕 주의 모든 식품에 유전자 변형 생물체(GMO) 표시를 부착하도록 요구하는 것임.,뉴욕의 모든 식품에 유전자 변형 생물체(GMO) 표시를 부착하도록 요구하는 법안이다.,"미국 뉴욕주 의원, GMO 표시안 상정할 예정","미국 뉴욕주 의원, GMO 표시안 상정할 예정 뉴욕 주의 한 의원이 뉴욕의 모든 식품에 유전자 변형 생물체(GMO) 표시를 부착하도록 요구하는 법안을 상정할 계획임. 일부 반대 시각에서는 GMO 식품을 '프랑켄 식품(franken-foods)'이라고 칭함. 대두나 옥수수 시럽을 만든 것은 대부분이 유전자 변형되었을 가능성이 있음. 많은 식품에는 이미 '유기농', '전 성분 천연', 무글루텐'과 같은 라벨을 표시하고 있으나 뉴욕에서는 'GMO' 라벨을 찾아볼 수 없음. 린다 로젠탈 뉴욕 의원은 유전자 변형된 작물은 제초제가 아주 많이..."
20,캐나다에서 회수된 Imei 브랜드의 쿠키는 어떤 성분이 표시되지 않았나요?,아몬드와 땅콩이 미표시되었습니다.,알레르기 유발성분 아몬드와 땅콩이 표시되지 않았습니다.,"[회수]캐나다 Allcity Importers Ltd., 알레르기 유발성분 아몬드와 땅콩 미표시된 쿠키 회수","[회수]캐나다 Allcity Importers Ltd., 알레르기 유발성분 아몬드와 땅콩 미표시된 쿠키 회수 캐나다 연방보건부, 'Allcity Importers Ltd.'의 쿠키'Seaweed Fried Cookies와 Sesame Fried Cookies'를 알레르기 유발성분 아몬드와 땅콩 미표시로 회수 발표 - 일시: 2014. 3. 20.- 제품명: 1) Seaweed Fried Cookies(115 g, 제품코드: 20150115, UPC: 4710126010086)2) Sesame Fried Cookies(115 g, 제..."
21,하와이 카운티 위원회가 GM 작물 경작 금지법에 대해 항소하기로 결정한 표결 결과는 어떻게 되었나요?,"찬성 5표, 반대 4표로 항소를 진행하기로 가결되었습니다.","찬성 5표, 반대 4표로 항소를 진행하기로 가결 처리되었습니다.","하와이 카운티, GM 작물 경작 금지법 부당판결에 관해 항소하기로 결정","하와이 카운티, GM 작물 경작 금지법 부당판결에 관해 항소하기로 결정 하와이 카운티 위원회가 유전자 변형(GM) 작물의 옥외 시험재배법 금지를 무효화한 연방판사의 판결에 항소할 계획임. 일간지 '웨스트 하와이 투데이'는 위원회의 표결 결과, 찬성 5표, 반대 4표로 항소를 진행하기로 가결 처리되었다고 보도했음. 미국 예심판사 베리 커렌은 11월 27일, 이 문제에 대해 카운티의 법이 주법에 우선한다면서 카운티법을 무효화시켰음. 하와이 카운티의 조례는 유전자 변형 작물을 옥외 시험재배하는 것을 금지함. 또한, 현재 이미 하와이 카운..."
22,미국 국립연구원이 GMO 연구를 시작한 이유는 무엇인가?,"미국 국립연구원이 GMO 연구를 시작한 이유는 미국 내 여러 주에서 유전자 변형 생물체 성분을 함유한 식품의 의무표시 요구와 비 GMO 상품 제공 증가, 그리고 중요한 통상국인 중국을 포함한 국가들의 일부 GMO 곡물 수입 허용에 대한 망설임 때문임.",미국과의 중요한 무역 상대국으로 대표적인 중국을 포함한 통상국이 일부 GMO 곡물의 수입 허용을 망설임에 따라 이번 연구가 시작되었다.,"미국 국립연구원, GMO 안전성과 잡초 내성에 대한 우려로 연구활동 개시","미국 국립연구원, GMO 안전성과 잡초 내성에 대한 우려로 연구활동 개시 월요일, 유전자 변형 작물에 관한 연구를 지원하는 미국 정부의 첫 공청회에서 농업 전문가들은 유전자 변형 작물에 대해 이것의 안전성 및 확산되는 잡초 내성을 포함한 여러 우려사항을 제기했음. 다양한 포장식품 제품에 사용되는 유전자 변형 작물에 대한 소비자들의 의구심이 증가하는 시기에 미 국립연구원(NRC)가 시행하고 농무부(USDA)가 일부 후원한 연구가 행해지고 있음. 미국 내 여러 주에서는 유전자 변형 생물체(GMO) 성분을 함유한 식품의 의무표시를 요구하..."
23,영국 식품기준청이 신규 식품 승인 신청 접수를 중단한 이유는 무엇인가?,영국 식품기준청이 신규 식품 승인 신청 접수를 중단한 이유는 공공부문의 인력 감축과 긴축 재정으로 인한 재원 부족 때문임.,재원 부족으로 인해 당분간 신규 식품의 승인 신청을 접수하지 않기 때문입니다.,"영국, 식품기준청 신소재식품 신청 접수 중단","영국, 식품기준청 신소재식품 신청 접수 중단 영국 'Whitehouse Consulting'의 회장, 크리스 화이트하우스(Chris Whitehouse)는 식품기준청(FSA)이 신규 식품 승인 신청 접수를 중단하고 있다고 전함. FSA는 자동 응답 이메일 시스템을 통해 신청 업체들에게 재원 부족으로 당분간 신규 식품의 승인 신청을 접수하지 않는다고 통지하고 다른 EU 회원국에 등록 서류를 제출할 것을 권고하고 있음. 화이트하우스는 영국에서 현재 진행되고 있는 공공부문의 인력 감축과 긴축 재정을 그 원인으로 지목하고 있음. 그리고 공..."
24,워싱턴주에서 GM 연어에 대한 라벨 표시 의무화 법안이 청문회에서 논의된 이유는 무엇인가?,워싱턴주에서 GM 연어에 대한 라벨 표시 의무화 법안이 청문회에서 논의된 이유는 GM 연어 판매 시 라벨에 정보를 표시해야 하는지에 대한 논란 때문임.,"농무부가 갈변 방지를 위해 유전자가 재조합된 사과를 승인할 것으로 예상되면서 GMO 논란이 재가열되었고, 이에 따라 GM 연어가 판매될 경우 라벨 표시를 의무화하는 법안이 청문회에서 논의되었다.","워싱턴주, GMO 라벨표시 의무화 논쟁 재가열 조짐(표시 의무화 법안 청문회 실시)","워싱턴주, GMO 라벨표시 의무화 논쟁 재가열 조짐(표시 의무화 법안 청문회 실시) 미국 워싱턴주에서 유전자재조합(GM) 식품의 라벨표시 의무화 계획이 아슬아슬하게 실패로 돌아간지 몇 개월이 지난 현재 다시 GMO 논란이 되살아나고 있음.  워싱턴주 의원들은 17일(현지 시각), GM 연어가 판매될 경우 라벨 표시를 의무화하는 내용의 법안에 대한 청문회를 실시함. 또 다른 법안에서는 GMO 성분이 함유된 여러 식품에 대해 라벨에 해당 사실을 표시하도록 하는 내용이 담김.  이 같은 논란은 농무부가 갈변 방지를 위해 유전자가 재조합된..."
25,로스앤젤레스 시위원회가 유전자 변형 작물 재배를 금지하려는 이유는 무엇인가?,"로스앤젤레스 시위원회의 문서에는 유전자 변형 작물 재배 금지의 구체적인 이유는 명시되어 있지 않으며, 주로 지지 기반의 상징적 의미와 기존의 GMO 관련 주민 발의안 지지를 반영하는 측면이 강조되어 있음. 해당 문서에 없음.","로스앤젤레스 시에는 농작물이 거의 없기 때문에 거의 상징적인 의미가 될 것이나, 이는 2012년 GMO 식품의 표시제를 요구했으나 실패했던 캘리포니아주 주민 발의안을 지지했던 사람들을 포함해 전폭적인 지지를 받았기 때문이다.","미국 로스앤젤레스 시 위원회, 유전자 변형 작물 재배 금지하는 쪽으로 의견 집중","미국 로스앤젤레스 시 위원회, 유전자 변형 작물 재배 금지하는 쪽으로 의견 집중 미국 로스앤젤레스 시위원회는 화요일(현지시간) 유전자 변형 생물체(GMO)를 함유한 종자의 재배 규제와 관련한 조례안 대한 표결을 진행했음. 시 위원회는 시의 공무 담당자들에게 시의 경계 내에서 GMO를 함유한 식물과 종자의 재배 및 판매를 규제하는 조례를 마련하는 것에 대해 요청했음.이는 로스 앤젤레스 시에는 농작물이 거의 없기 때문에 거의 상징적인 의미가 될 것이나 2012년 GMO 식품의 표시제를 요구했으나 실패했던 캘리포니아주 주민 발의안을 지지..."
26,스포츠음료는 언제 섭취하는 것이 권장되나요?,운동 시간이 90분 미만인 경우에는 스포츠음료 섭취를 권장하지 않는 것이 일반적임.,스포츠음료는 운동 시간이 90분 이상인 경우나 기온과 습도가 높은 환경에서 60분을 초과하는 운동을 할 때 섭취하는 것이 권장됩니다.,"스포츠음료, 섭취할 필요 없는 경우가 대부분","스포츠음료, 섭취할 필요 없는 경우가 대부분 운동후 전해질 보충을 위해 스포츠음료를 선택하는 사람들이 많음. 방송프로그램 'CBC Marketplace'에서 조사한 결과, 캐나다인 대다수는 실제로 이 형형색색의 스포츠음료가 필요할 만큼 운동을 하하지 않으며, 평균적인 운동량으로는 인체 에너지와 전해질ㄹ이 보충이 필요할 만큼 고갈되지 않는 것으로 나타남. 토론토 대학교 인체생리연구실 소속 운동 생리학자 그렉 웰스(Greg Wells)는 운동을 하면 체내 물질조성이 개선되고 더 건강해지지만, 설탕과 염분 함량이 높은 음료를 섭취하면 그..."
27,챈들러 스윙크 학생이 혼수상태에 빠진 이유는 무엇인가?,챈들러 스윙크 학생이 혼수상태에 빠진 이유는 견과 알레르기 반응 때문임.,챈들러 스윙크 학생은 견과 알레르기로 혼수상태에 빠졌다.,"미국 한 대학생, 견과 알레르기로 혼수상태","미국 한 대학생, 견과 알레르기로 혼수상태 미국 오클랜드 대학교 2학년에 재학중인 챈들러 스윙크(Chandler Swink, 19세)학생이 견과 알레르기로 혼수상태에 빠져있음. 심각한 견과 알레르기 증세를 갖고 있던 스윙크 학생은 11월 18일, 세인트 조헵 머시 병원에서 혼수상태에 빠져있다고 언론지 'Monica Drake of The Oakland Press'가 보도했음. 이 언론에 따르면 스윙크 학생은 그가 2살일 때 6단계 견과 알레르기 진단을 받았다고 함. 6단계 견과 알레르기는 가장 심각한 형태로 현재 의사들은 그의 생존..."
